"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1015.7","...","1018.2","2022-02-10 09:31","1013.8","2022-02-10 14:51","17.2","19.1","2022-02-10 12:11","15.8","2022-02-10 07:01","...","94","85","2022-02-10 12:11","1.9","84","10.6","98","2022-02-10 19:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1013.4","...","1015.6","2022-02-11 08:53","1011.5","2022-02-11 15:01","20.3","25.3","2022-02-11 12:22","17.0","2022-02-11 06:41","...","85","68","2022-02-11 12:12","1.9","80","9.0","99","2022-02-11 02:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1013.1","...","1015.3","2022-02-12 09:31","1011.6","2022-02-12 02:11","18.2","19.4","2022-02-12 00:15","17.4","2022-02-12 05:11","...","95","87","2022-02-12 23:31","1.7","94","6.8","95","2022-02-12 23:13","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1011.3","...","1014.4","2022-02-13 23:12","1008.4","2022-02-13 13:32","18.3","20.7","2022-02-13 11:02","14.9","2022-02-13 23:51","...","91","85","2022-02-13 13:44","2.5","76","10.8","100","2022-02-13 13:57","15.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1015.4","...","1017.5","2022-02-14 10:03","1013.1","2022-02-14 03:31","14.8","16.2","2022-02-14 23:01","13.4","2022-02-14 09:31","...","93","74","2022-02-14 23:52","1.9","99","9.3","91","2022-02-14 22:23","41.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1014.9","...","1017.0","2022-02-15 08:11","1012.6","2022-02-15 13:57","16.4","19.2","2022-02-15 11:13","15.0","2022-02-15 01:42","...","81","67","2022-02-15 10:25","2.9","83","11.9","93","2022-02-15 11:10","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1014.2","...","1016.0","2022-02-16 08:43","1012.3","2022-02-16 15:01","16.6","18.6","2022-02-16 10:12","15.6","2022-02-16 01:11","...","89","79","2022-02-16 13:04","2.4","83","10.1","100","2022-02-16 14:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1013.2","...","1015.1","2022-02-17 23:12","1010.4","2022-02-17 05:21","16.8","18.4","2022-02-17 10:45","15.7","2022-02-17 21:11","...","94","89","2022-02-17 00:31","2.5","85","10.5","79","2022-02-17 15:41","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1013.3","...","1015.9","2022-02-18 07:22","1010.6","2022-02-18 15:31","16.5","17.8","2022-02-18 15:51","15.2","2022-02-18 06:21","...","99","93","2022-02-18 03:01","1.7","97","7.3","92","2022-02-18 02:21","7.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1015.0","...","1019.8","2022-02-19 22:57","1011.5","2022-02-19 03:51","15.8","17.7","2022-02-19 11:21","12.5","2022-02-19 23:31","...","97","91","2022-02-19 17:21","1.9","89","10.2","103","2022-02-19 14:54","15.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1021.8","...","1024.7","2022-02-20 09:43","1019.1","2022-02-20 00:01","10.9","13.0","2022-02-20 00:11","9.9","2022-02-20 12:18","...","94","88","2022-02-20 09:41","2.8","89","10.0","74","2022-02-20 09:10","24.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1020.6","...","1022.8","2022-02-21 00:01","1018.2","2022-02-21 13:56","13.1","15.3","2022-02-21 21:51","10.4","2022-02-21 01:59","...","98","92","2022-02-21 12:57","3.2","88","9.4","96","2022-02-21 23:09","22.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1019.8","...","1021.6","2022-02-22 08:21","1017.9","2022-02-22 15:18","14.9","15.7","2022-02-22 12:01","14.1","2022-02-22 03:31","...","100","99","2022-02-22 01:11","2.9","94","10.9","86","2022-02-22 12:57","26.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1021.9","...","1024.4","2022-02-23 08:51","1018.2","2022-02-23 03:01","13.2","14.5","2022-02-23 00:09","12.3","2022-02-23 23:21","...","99","95","2022-02-23 20:41","2.3","91","8.9","99","2022-02-23 12:49","30.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1023.8","...","1025.7","2022-02-24 08:51","1022.0","2022-02-24 14:11","13.0","14.7","2022-02-24 13:05","11.9","2022-02-24 04:31","...","92","81","2022-02-24 13:11","2.6","105","9.1","90","2022-02-24 19:39","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1020.4","...","1023.2","2022-02-25 00:01","1017.9","2022-02-25 14:02","16.4","19.6","2022-02-25 12:31","13.1","2022-02-25 02:31","...","87","76","2022-02-25 12:31","2.3","85","8.2","91","2022-02-25 14:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1017.9","...","1020.6","2022-02-26 07:51","1015.1","2022-02-26 15:28","18.4","24.5","2022-02-26 12:27","14.7","2022-02-26 05:41","...","87","67","2022-02-26 12:21","1.4","312","6.3","301","2022-02-26 14:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1017.4","...","1020.0","2022-02-27 08:24","1015.3","2022-02-27 15:02","18.6","21.0","2022-02-27 15:01","16.8","2022-02-27 02:51","...","75","51","2022-02-27 14:51","2.5","83","9.9","95","2022-02-27 18:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1014.7","...","1018.1","2022-02-28 08:41","1011.9","2022-02-28 14:11","20.9","28.2","2022-02-28 13:55","17.6","2022-02-28 06:51","...","69","40","2022-02-28 14:01","1.4","158","6.3","317","2022-02-28 14:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
